DD MM YY London Bristol Liverpool Manchester Newcastle Birmingham Sheffield
13  8 60  133  15 180  97   2    6  27
20  8 60  114  11 128  74   2   11  19
27  8 60   80   8 119  85   3   10  31
 3  9 60   61   4  92  64   5   11  16
10  9 60   46   2  63  50   7    9  16
17  9 60   54   4  63  54   4    7  19
24  9 60   48  10  79  48   4   10  11
 1 10 60   86   8  91  57   3   11   8
 8 10 60  112  14  82  60   2   26  14
15 10 60  173  12 152  62   4   30  13
22 10 60  183  10 136  78   0   16   5
29 10 60  261  11 151 108   1   37  15
 5 11 60  288  37 259 130   1   41   3
12 11 60  301  15 200  90   0   46  13
19 11 60  302  13 221 144   1   49   6
26 11 60  400  14 229  67   1   54  19
 3 12 60  400  13 221 127   6   85  18
10 12 60  499  20 250 142   4   15  44
17 12 60  621  25 234 159  10  111  25
24 12 60  726  56 249 126  10  170  52
31 12 60  910  84 219 244  35  254  46
 7  1 61 1390  98 283 330  33  449  90
14  1 61 1310  74 255 234  69  298  81
21  1 61 1087  80 228 220  51  325  91
28  1 61 1552  54 161 202  33  357 202
 4  2 61 2008  91 142 184 144  430 146
11  2 61 2797 108 179 266 200  919 331
18  2 61 3204 138 211 306 183  965 287
25  2 61 3339 186 152 323 247 1235 405
 4  3 61 3403 167 199 313 260 1318 333
11  3 61 2986 215 171 300 224 1364 375
18  3 61 3032 207 132 297 283 1561 339
25  3 61 2513 292 136 320 243 1102 424
 1  4 61 2517 333 157 228 189 1177 355
 8  4 61 2857 456 145 288 242 1190 451
15  4 61 2391 558 200 245 385 1309 416
22  4 61 1881 512 145 219 268 1066 347
29  4 61 1330 431 113 157 181  653 231
 6  5 61  992 567  74 144 140  521 266
13  5 61  937 518 128 121 264  532 346
20  5 61  873 506 114 143 297  488 330
27  5 61  727 546 111 116  66  298 314
 3  6 61  682 433 161 149 252  426 297
10  6 61  597 289 137  82 160  329 308
17  6 61  440 365 184  78 201  200 287
24  6 61  420 208 177  95  78  293 225
 1  7 61  347 317 162 122 175  180 162
 8  7 61  304 179 195  70  44  131 155
15  7 61  210 155 163 112  65   91 124
22  7 61  185 111 155  75  51  121  92
29  7 61  190 121 139  77  11   99  71
 5  8 61  145 111 135  71  15   52  55
12  8 61  120  82  77  49  16    7  39
19  8 61   92  52  72  66  12   51  21
26  8 61  107  50  49  39   0   44  23
 2  9 61   72  30  51  30  16   22  11
 9  9 61   49   8  38  27  11   18  11
16  9 61   47   6  22  33   0   17   8
23  9 61   39   3  23  34   3   10   2
30  9 61   36   2  20  35   0   15   4
 7 10 61   40   3  19  28   2    4   5
14 10 61   44   5  16  36  13   14   4
21 10 61   45   5  12  18   1   15   9
28 10 61   36   1  17  15   1    2   5
 4 11 61   51   3  15  22   0    6  10
11 11 61   40   1   9  36   0    9   1
18 11 61   33   1   9  41   0    5   8
25 11 61   40   1   7  47   3   14   4
 2 12 61   30   0   4  38   3    3  13
 9 12 61   39   2  11  29   0    7  11
16 12 61   20   0  16  44   0    6   3
23 12 61   19   0   5  22   0   13  10
30 12 61   26   1   9  13   0    8   6
 6  1 62   24   2   9  32   0    7   5
13  1 62   30   0   7  33   0    5  11
20  1 62   28   1  21  12   1    9   2
27  1 62   33   0  22  18   2    2  12
 3  2 62   45   2  13  19   0   10   0
10  2 62   48   0  20  19   0   10   4
17  2 62   44   2  18  26   1    9   3
24  2 62   77   0  34  26   3   16   1
 3  3 62   59   0  20  33   0   19   0
10  3 62   83   2  29  43   4   18   4
17  3 62   91   0  22  55   1   19   1
24  3 62  112   0  48  36   0   23   2
31  3 62  146   4  59  36   0   14   5
 7  4 62  109   1  64  44   1   25   0
14  4 62  142   3  37  38   0   36   5
21  4 62  131   0  49  28   2   21   0
28  4 62  118   0  43  32   2   17   2
 5  5 62  109   2  47  31   4   53   7
12  5 62  131   1  22  28   1   23   2
19  5 62   85   4  37  29   2   40   0
26  5 62   66   0  34  34   1   18   9
 2  6 62   66   2  38  32   2   14   3
 9  6 62   54   0  48  31   1   21   1
16  6 62   68   0  42  15   0   16   0
23  6 62   73   0  75  56   4   18  14
30  6 62   65   1  69  34   1   27   6
 7  7 62   75   1 105  50   1   11   3
14  7 62   68   1 128  63   1   26   5
21  7 62  128   0 217  59   6   43   3
28  7 62  137   1 184  73   1   28  10
 4  8 62  130   0 214  71   1   32   3
11  8 62  112   0 260  80   0   16   7
18  8 62  117   0 294  54  10   20   7
25  8 62   91   1 217  54   0   12  12
 1  9 62   94   0 166  25   8   17   5
 8  9 62   83   2 198  22   1    3  13
15  9 62   71   2  83  24   5   12   9
22  9 62   57   2 115  19   3   10  10
29  9 62  113   3 126  31   6   15  14
 6 10 62  166   3 224  35   5   27  34
13 10 62  194   0 265  32   4   42  63
20 10 62  186   4 393  45   7   77  84
27 10 62  271   2 567  36   2   85 134
 3 11 62  317   1 592  71   7   94  80
10 11 62  425   3 657  63   4  126 118
17 11 62  345   1 725  75  17  124 123
24 11 62  467   4 645  71  10  241 132
 1 12 62  558  10 813 112  18  191 149
 8 12 62  692   5 730 131  26  287 277
15 12 62  868  36 632 149  50  368 299
22 12 62  848   8 564 169  37  419 320
29 12 62  633  23 402 188  88  296 239
 5  1 63 1370  71 646 322 248  734 539
12  1 63 1103  79 537 358 234  710 426
19  1 63  820  97 313 257 205  659 305
26  1 63  877  93 226 250 156  502 346
 2  2 63  901 118 180 225 400  662 311
 9  2 63 1190 301 188 411 459 1022 516
16  2 63 1050 169 158 426 264  779 439
23  2 63 1250 202 156 398 434 1004 467
 2  3 63 1121 264  88 340 164  807 424
 9  3 63 1052 259  78 282 134  721 340
16  3 63  983 254  68 225 104  797 353
23  3 63 1016 177  65 185  84  713 287
30  3 63 1199 200  54 228 146  786 244
 6  4 63 1287 295  52 158  65  587 176
13  4 63 1175 212  55 128  45  345 174
20  4 63 1450 356  68 178  27  405 126
27  4 63 1332 355  46 183  50  343 148
 4  5 63 1102 285  90 167  14  289 130
11  5 63  756 201  49  99  27  252  85
18  5 63  713 405  52 106  21  192  87
25  5 63  622 328  59 100  13  213  93
 1  6 63  775 368  59 153  11  245  83
 8  6 63  663 319  33 155   6  186  78
15  6 63  862 306  61 148  29  208  79
22  6 63  588 218  58 148   5  113  94
29  6 63  571 223  59  97  30  160  67
 6  7 63  477 152  53  76  17   88  78
13  7 63  471 153  46  75  34   85 116
20  7 63  457  83  57  65  19   91  78
27  7 63  503 137  46  66  13   71  74
 3  8 63  338 106  53  83  28   46  64
10  8 63  231  76  34  45   8   45  46
17  8 63  183  41  37  32   8   67  27
24  8 63  175  24  37  53   0   69  25
31  8 63   77  62  30  13  19   23  20
 7  9 63   74  14  28  18  24   35   8
14  9 63   43  21  36  13  20   28  12
21  9 63   45  17  27  13  10   22  13
28  9 63   48  12  29  17  10   12  29
 5 10 63   37   7  37  22   9   13  40
12 10 63   38  10  43  19  25   13  42
19 10 63   27  17  61  42  14   16  21
26 10 63   43   5  62  29  55   10  35
 2 11 63   38  10  59  15  56   28  31
 9 11 63   56  19  60  20  46   20  50
16 11 63   48  34  67  16  58   48  20
23 11 63   36  33  84  16  13   41  36
30 11 63   54  32  91   8  46   20  32
 7 12 63   49  26 100  17  27   31  31
14 12 63   29  13 113   8  26   39  21
21 12 63   39  26 123   8  35   29  16
28 12 63   16  21  75   7  44    6  13
 4  1 64   39  30 165  21   0   84  40
11  1 64   37  14 166  14  59   83  35
18  1 64   38  14 121  23  23   49  21
25  1 64   39  13 113  48  22   55  16
 1  2 64   56  16 124  39  13   47  38
 8  2 64   79  71 143  61  11   76  23
15  2 64   70  41 173  30  23   71  48
22  2 64   65  76 200  44  25   75  25
29  2 64   74  35 257  29  17   81  26
 7  3 64   86  57 204  35  15  132  22
14  3 64  105  59 209  27  27  115  28
21  3 64  143  36 307  31  13  167  31
28  3 64  148  23 196  23   6  129  24
 4  4 64  143  25 216  23  25  194  18
11  4 64  121  25 238  23   6  185  12
18  4 64  125  42 151  25  35  166  11
25  4 64  100  16 174  27  19  145   9
 2  5 64  110  29 127  28  24  171   9
 9  5 64  147  11 146  40  41  187   2
16  5 64  179  49 141  64  44  202  24
23  5 64  175  19 171  77  16  177  24
30  5 64  239  40 154 162  43  316  44
 6  6 64  229  21 160  92  37  288  35
13  6 64  256  20 213  99  44  263  45
20  6 64  235  17 216 122  45  272  48
27  6 64  330  14 236 128  45  229  67
 4  7 64  327  15 278 143  58  256  94
11  7 64  375  23 237 170  52  241 110
18  7 64  318  24 149 113  41  105  70
25  7 64  423  35 190 131   3  202 136
 1  8 64  512  59 256 204  50  243 187
 8  8 64  408  75 109 135  32  159 158
15  8 64  347  63  87 152  52  133 157
22  8 64  260  53  81  96  11   82 103
29  8 64  187  42  73 112  24   44  81
 5  9 64  180  26  63  42  19   36  45
12  9 64  149  16  33  52   4   29  48
19  9 64  160  12  19  42   9   24  63
26  9 64  132  19  28  49   1   42  47
 3 10 64  132  28  54  49   2   53  39
10 10 64  194  31  30  73   0   36  85
17 10 64  238  21  45  46   4   33 120
24 10 64  247  20  58  78   1   48 159
31 10 64  299  28  53  88  13   50 154
 7 11 64  316  34  48  90   9   47 168
14 11 64  469  38  53  90   1   66 132
21 11 64  539  27  69 129   5   88 187
28 11 64  563  20  61 144  18   98 149
 5 12 64  679  39  99 127   8  147 231
12 12 64  695  31  47 178  12  151 186
19 12 64  810  34  64 173  13  124 210
26 12 64  666  42  48 130  28  110 137
 2  1 65 1157  91 161 177   0  178 232
 9  1 65 1172  46  78 253  52  205 231
16  1 65 1042  44 128 211  38  198 231
23  1 65  959  99  92 175  86  160 138
30  1 65 1071 120 119 228  38  123 183
 6  2 65 1375 182  84 249 138  187 235
13  2 65 1819 224 120 257 173  265 300
20  2 65 1745 178 164 214 134  275 357
27  2 65 1848 209 149 187 345  310 297
 6  3 65 1900 213 156 201 159  293 254
13  3 65 1444 189 115 153 183  298 181
20  3 65 1540 296 116 133 146  297 132
27  3 65 1089 193 118 145 132  315 160
 3  4 65 3946 297 149 140 102  403 129
10  4 65 3152 329 106 105 141  241  93
17  4 65 2358 220  85  78 137  290 120
24  4 65 2431 255 105  90  83  320  60
 1  5 65 2337 215 125  68 136  291  74
 8  5 65 1708 206 108  84  92  339  44
15  5 65 1382 135 122  69  53  255  70
22  5 65 1101 169 101  72  66  211  61
29  5 65  991 122 162  70  58  229  98
 5  6 65  959 202 168 101  73  218  83
12  6 65  773 170 152  48  49  181  58
19  6 65  855 233 170  89  48  219  99
26  6 65  710 167 196  91  61  180 103
 3  7 65  629 133 206  96 122  186  90
10  7 65  529 111 209  86  47  167  50
17  7 65  494 138 222  78  36  208  58
24  7 65  417  69 266  63  30  170  43
31  7 65  398  62 224  66  45  124  62
 7  8 65  424 106 187  24  65  132  39
14  8 65  288  27 148  38  26   90  72
21  8 65  249  35 105  18  22   50  53
28  8 65  183  30  93  16  23   40  27
 4  9 65  136  31 106  17  18   73  15
11  9 65  120  16  87  13  10   24  21
18  9 65  113  14  74   9   7   43  17
25  9 65   99   6 110   9   9   31  17
 2 10 65  101  12  69  14  20   24   7
 9 10 65  141   5 129   5   5   42  11
16 10 65  135  12 104  21   2   37  14
23 10 65  164   4 150  15   4   59   6
30 10 65  170   7  98  24   2   42  15
 6 11 65  261   4 118  33   1   40  20
13 11 65  184   4 184  37   0   27  13
20 11 65  153   6 161  53   4   43  21
27 11 65  133   3 174  92   4   29  15
 4 12 65  151   0 177  54   8   30  16
11 12 65  185   4 179  73  11   40  20
18 12 65  140   1 210  48   0   39  16
25 12 65  185   4 154  34   0   37  33
 1  1 66  228   7 213  62   0   82  16
 8  1 66  242   9 223  59   1   74  62
15  1 66  269  14 206  44   4   53  34
22  1 66  205   7 213  26   4   98  39
29  1 66  249   8 166  35   6   90  15
 5  2 66  383  12 166  25  11   91  26
12  2 66  388  20 180  19  15  111  24
19  2 66  397  20 120  16   7  117  15
26  2 66  427  13 147  24   8  126  17
 5  3 66  376   8 114  23  17  110  26
12  3 66  477  21  92  28   8  142  19
19  3 66  392  41 127  21  10  139  28
26  3 66  418  78 116  23   9  144  49
 2  4 66  533  85 111  22   9  130  61
 9  4 66  387  98 119  23   8   83  59
16  4 66  510 128  77  29   5  149  69
23  4 66  605 122 134  38   7  118  74
30  4 66  525 161 100  34   8  102  89
 7  5 66  459 139 107  24  10   65  79
14  5 66  429  83  92  16   7   82  50
21  5 66  456  92  66  21   4  101  53
28  5 66  621  80  87  26   4   96  63
 4  6 66  479 158  64   2   8  103  61
11  6 66  752 117  91  44  14  129  87
18  6 66  609 108  94  37   1   95 127
25  6 66  714 130  42  59  27   92 145
 2  7 66  717 143  59  54   5   93 175
 9  7 66  839 115  67  59  42  116 159
16  7 66  781  95  59  54  13  142 163
23  7 66  812 162  68  80  38  151 181
30  7 66  855  83  61  71  43  156 161
 6  8 66  978  93  73  79  33  121 153
13  8 66  965  89  55  62  52   90 163
20  8 66  828  63  53  52  33  106 104
27  8 66  600  46  73  83  24   69 107
 3  9 66  403  26  29  68  26   51  70
10  9 66  401  23  40  46  23   42  53
17  9 66  327  17  28  33  12   26  50
24  9 66  340  23  40  63  20   30  24
 1 10 66  344   9  41  55  27   38  58
 8 10 66  449  27  58  70  28   60  67
15 10 66  694  16  40  90  53   76  90
22 10 66  889  12  65  92  40  101  97
29 10 66 1031  41  64 159  65  144  88
 5 11 66 1058  41  80 145  90  180  77
12 11 66 1238  18  94 159  76  241 106
19 11 66 1343  46 106 173  73  225 105
26 11 66 1727  45  97 158  52  310 123
 3 12 66 2177  70 148 127  89  287 103
10 12 66 2498  97 125 152  88  393 144
17 12 66 2527  86 122 156  69  312 140
24 12 66 2861 137 147 188 102  273 149
31 12 66 3361 155 148 145 101  366 126
  6     1   67 5105 219 204 185 103 516 212
 13     1   67 3994 134 212 177  87 400 178
 20     1   67 3563 216 131 165  75 337 139
 27     1   67 3357 198 177 103  55 481 151
  3     2   67 4402 173 165 149  58 449 117
 10     2   67 4967 260 198 127  67 511 178
 17     2   67 5245 195 246 126  35 539 169
 24     2   67 5464 191 307 175  44 555 223
  3     3   67 4933 172 265 144  25 587 218
 10     3   67 4084 148 278 154  22 540 225
 17     3   67 3871 157 257 123  30 420 235
 24     3   67 2730 103 194 132  30 464 211
 31     3   67 3295 136 226 132  27 393 138
  7     4   67 3034 138 216 142  41 392 156
 14     4   67 2023  98 197  95  22 300 123
 21     4   67 1512  97 188  71  25 250  62
 28     4   67 1175 101 134  77  12 236  72
  5     5   67 1087  93 130  62  21 215  60
 12     5   67  912  77  92  82  19 253  74
 19     5   67  937  72 126  70  16 188  72
 26     5   67  887  75 138  56  13 167  60
  2     6   67  622  61  94  72   9 244  55
  9     6   67  652  81 130  93   8 146  85
 16     6   67  511  67 110  65   5 180  58
 23     6   67  419  49 136  51   8 121  45
 30     6   67  342  49 128  25   5 116  58
  7     7   67  388  44 128  25   3 137  38
 14     7   67  359  24 112  37   7  82  47
 21     7   67  281  51 138  35   6  73  38
 28     7   67  198  23 102  32   7  77  59
  4     8   67  291  27  96  44   7  55  61
 11     8   67  190  21  60  15   7  54  57
 18     8   67  185  18  66  34   2  29  31
 25     8   67  110  12  45  13   3   9  35
  1     9   67   78   8  30  10   4  13  15
  8     9   67   75   3  39   8   8  12  19
 15     9   67   70  13  29  13   2  17  11
 22     9   67   49   9  11   6   3   4   8
 29     9   67   79   4  19   3   0   9  14
  6    10   67   53   8  19   6   0  11  12
 13    10   67   72   3  14   3   0  17  11
 20    10   67   67  12  11  10   4  18   9
 27    10   67   77   7   7   5   1  10  12
  3    11   67   77   3  24   3   3  33  11
 10    11   67   51   5  18   3   1  20  23
 17    11   67   51   4  11   2   1  21  18
 24    11   67   47  12  24   3   0  10  27
  1    12   67   48   8  11   7   2  23  23
  8    12   67   51  13  14  12   1  16  27
 15    12   67   40  13  14   3   1   5  19
 22    12   67   31  13  11   8   0  14  38
 29    12   67   22   3  36   4   2  14  33
 05    01   68   47  18  34   9   0  28  40
 12    01   68   35   8  17  18   1  34  49
 19    01   68   32  10  13  13   4  15  18
 26    01   68   38   9  19  12   4  22  26
 02    02   68   39  13  32   6   6  22  17
 09    02   68   51  14  15   7   6  36  39
 16    02   68   60   8  32   1  13  37  46
 23    02   68   48  19  35   3  27  37  48
 01    03   68   50   9  33   2  20  34  59
 08    03   68   71  11  50   8  45  30  65
 15    03   68   95  14  59   6  45  63  59
 22    03   68  113  10  40  12  81  54  35
 29    03   68  118  13  54   5  63  54  70
 05    04   68  138   5  51   7  67  73  87
 12    04   68  132   8  38   5  49  33  81
 19    04   68  107   0  46  24  78  51 127
 26    04   68  172   7  43  28 101 107 174
 03    05   68  150   9  49  23  68 117 145
 10    05   68  162  13  44  14  65  64 133
 17    05   68  155  12  60  21  58 102 147
 24    05   68  221  28  90  13  88  94 222
 31    05   68  292  23 151  27  95 106 392
 07    06   68  260  11 147  14  97 186 357
 14    06   68  333  14 186  35 132 202 395
 21    06   68  325  12 164  32 115 288 389
 28    06   68  317  21 220  59 113 274 420
 05    07   68  317   8 266  59  94 310 351
 12    07   68  396  15 226  94 113 368 304
 19    07   68  413  16 318  99  81 412 268
 26    07   68  387  16 270 120  67 450 262
 02    08   68  498  24 262 145  41 475 164
 09    08   68  456  23 217 123  42 377 162
 16    08   68  428  24 186 117  23 271 131
 23    08   68  320  29 115  84  18 202  97
 30    08   68  245  24 115  59  21 173  64
 06    09   68  214  20  70  52   5 106  33
 13    09   68  172  19  72  46  13  83  33
 20    09   68  171  16  50  26   1  45  29
 27    09   68  149  21  41  71   1  53  19
 04    10   68  206  13  81  69   3  55  21
 11    10   68  272  28  66 109   6  72  23
 18    10   68  297  27  39 118   3 109  11
 25    10   68  400  33  51 110   6  96  20
 01    11   68  453  28  46 113   2 104  10
 08    11   68  516  46  32 112   5 125  10
 15    11   68  584  60  41  94   4 105   5
 22    11   68  549  28  21  82   0  90   6
 29    11   68  564  22  33 106   2  58   4
 06    12   68  830  20  19  77   1  69  10
 13    12   68  747  20  30  80   2  88   4
 20    12   68  859  14   9  87   6  63   3
 27    12   68  497  20  14  73   0  33   4
 03    01   69 1396  54  21 129   0  94  32
 10    01   69 1267  52  18 108   1  53  17
 17    01   69  968  61   7  72   4  52  20
 24    01   69  830  32  15  42   4  68  23
 31    01   69  729  37   3  70   0  29  13
 07    02   69 1234  67  24  48   1 113  15
 14    02   69 1168  49  12  38   3 100   9
 21    02   69 1217  38   5  34   1  67   7
 28    02   69 1229  48   5  54   1  66  14
 07    03   69 1174  65   9  32   0  65   8
 14    03   69 1197  48  11  61   1  48  11
 21    03   69 1157  62   8  42   1  64   8
 28    03   69 1173  93   8  75   0  65   9
 04    04   69  895  43  20  38   1  59   4
 11    04   69 1021  30  10  52   0  62   4
 18    04   69 1138  41  14  52   0  56   3
 25    04   69  985  30  14  48   2  46   7
 02    05   69  845   9   6  56   1  43   6
 09    05   69  808  28   7  47   1  35   5
 16    05   69  857  26  10  57   0  47   6
 23    05   69  904  33   7  53   0  57  10
 30    05   69  784  31   4  81   3  32   5
 06    06   69  915  48   4  61   4  33   5
 13    06   69  756  27   7  82   6  56  11
 20    06   69  729  13   7  66   0  35   4
 27    06   69  606  30   4  61   1  44   9
 04    07   69  621  20  11  81   3  53   1
 11    07   69  611  24  21  65   6  61   7
 18    07   69  513  14  20  84   0  48  18
 25    07   69  496  36  30  75   3  68   8
 01    08   69  428  46  37  48   1  60   6
 08    08   69  365  36  36  94   2  33   1
 15    08   69  270  22  15  38   4  30   5
 22    08   69  219  23  16  39   2  23   1
 29    08   69  139  11  13  35   3  17   4
 05    09   69  101   4  15  13   6  16   3
 12    09   69   99  17   5  21   1   8   2
 19    09   69  106   5   *  12   3   8   2
 26    09   69   97   8  20  12   3  13  12
 03    10   69   93   3  28  23   1  10  10
 10    10   69   85   5  17  28   4  11  35
 17    10   69  109  10  32  30   3  18  23
 24    10   69  125   3  30  26   5  18  33
 31    10   69   98   9  25  42   8  15  12
 07    11   69  118   7  39  32   1  12  20
 14    11   69  112   8  21  21   3  16  22
 21    11   69   88   8  55  18   4  20  48
 28    11   69   96   3  49  10   0  16  42
 05    12   69  100  20  47  33   2  30  37
 12    12   69  100   7  60  19   3  16  44
 19    12   69  134   9  87  30   1  16  35
 26    12   69   78   6  51  21   2   8  42
 02    01   70  189   3 112  39  10   5  51
 09    01   70  156  11 105  38   8  27  74
 16    01   70  113   9  86  22   8   8   0
 23    01   70  180   6  71  17   3  28  63
 30    01   70  207  14 112  12   4  25  52
 06    02   70  251  11 182  21  15  15  70
 13    02   70  292  11 193  50  13  29  67
 20    02   70  299  33 227  42  21  22 102
 27    02   70  367  32 352  59   8  26  92
 06    03   70  305  31 217  63  20  44 165
 13    03   70  286  21 290  74  20  68 135
 20    03   70  303  30 313  71  23  41 143
 27    03   70  309  23 284  43  42  18 184
 03    04   70  361  20 378  75  35  40 146
 10    04   70  441  29 315  69  45  38 231
 17    04   70  352  21 270  76  63  66 189
 24    04   70  317  41 271  69  31  59 167
 01    05   70  271  39 196  92  60  46 121
 08    05   70  340  43 220  75 113  69 201
 15    05   70  334  30 194 127 170 122 233
 22    05   70  482  37 208 187 192 128 281
 29    05   70  553  32 205 103 173  96 314
 05    06   70  701  39 192 112 210 206 298
 12    06   70  676  30 198 134 134 181 258
 19    06   70  684  45 271 103 104 164 182
 26    06   70  637  41 145  99 166 293 186
 03    07   70  743  53 184  90 158 245 165
 10    07   70  767  70 137 136 134 275 167
 17    07   70  922  72 165 101  94 343 178
 24    07   70  959  58 116 114  80 378 155
 31    07   70  891  52  94  68  57 490 114
 07    08   70  988  52 119  85  48 359 109
 14    08   70  887  45  70  69  12 390  91
 21    08   70  792  32  57  47  10 241  66
 28    08   70  551  24  63  50  13 171  45
 04    09   70  358  35  38  17   7  89  35
 11    09   70  417   8  35  34  10 133  31
 18    09   70  301  15  27  13   4  74  16
 25    09   70  318   9  20  31   5 114  15
 02    10   70  373  13  28  22   4  97  13
 09    10   70  496  14  23  22   8  74  14
 16    10   70  529  18  24  19   9 101   8
 23    10   70  726  14  24  23   9 135   8
 30    10   70  566  10  35  23   7 126   6
 06    11   70  684   4  43   8   5 138   8
 13    11   70  761  19  33   5   9 169   7
 20    11   70  699   4  44  17   8  97   4
 27    11   70  741  15  44  17   6 147   0
 04    12   70 1019  12  24  23   7 127   3
 11    12   70  892  10  36  23  12 149   6
 18    12   70 1009  13  35  22   9  76   3
 25    12   70  869   8  28  18   7 109   1
 01    01   71 1202  26  37  22   2 158   0
 08    01   71 1091  19  39  23   2 172   2
 15    01   71  838  12  26  20   3 160   2
 22    01   71  454   4  16  15   0  67   0
 29    01   71  219  21   0   0   0  25   2
 05    02   71  346  14   6   1   3  50   0
 12    02   71  597  22   3   5   3  58   3
 19    02   71  609  33   3   0   0  43   0
 26    02   71  671  29   2   3   1  46   3
 05    03   71  796  34   0   2  13 146   1
 12    03   71 1250  32  36   5   4 411   4
 19    03   71 1403  29  41   5  14 296   1
 26    03   71 1016  51   7  25   5 152   8
 02    04   71  922  22  21   6   8 133   2
 09    04   71  558  27  17  22   8  61   4
 16    04   71  704  24   5   4   8 114   1
 23    04   71  781  32  21  15  10  62   7
 30    04   71  674  39  18  22   4  66   9
 07    05   71  478  11  15   4   3  92   2
 14    05   71  312  22  20  29   0  68   6
 21    05   71  430  20  15  28   1 100   2
 28    05   71  365  34   7   7   5  66   8
 04    06   71  304  15   *  41   2  57   5
 11    06   71  379  33  23  30   3  72   4
 18    06   71  362  35   5  63   2  66   3
 25    06   71  399  33   5  47   4  42   5
 02    07   71  419  17  16  50   1  76   5
 09    07   71  344  39  14  39   1  48   7
 16    07   71  350  25  10  20   3  50   7
 23    07   71  248  38   5  53   2  45  17
 30    07   71  265  32  10  24   0  29   8
 06    08   71  248  29  11  31   5  24  14
 13    08   71  176  28   9  21   1  23   4
 20    08   71  138  13  14  16   2  23  10
 27    08   71  109   9   9  23   1  13   5
 03    09   71   80   7   5   7   0   3   1
 10    09   71   92   9   4  26   3   4   4
 17    09   71   59   3   6  11   0  17   2
 24    09   71   53   5   5   7   0  11   0
 01    10   71   35   8   5  10   0   8   1
 08    10   71   32   6   3  35   0  15   1
 15    10   71   50   4   3  28   0  11   2
 22    10   71   49  10   8  37   0   6   7
 29    10   71   78   3   5  17   0  15   1
 05    11   71   62   4   2  39   2   8  16
 12    11   71   99   6   2  66   2  14  14
 19    11   71   64   5  11  66   0  14  18
 26    11   71   94   4   2  30   0  11  23
 03    12   71   94   7   7  40   0   8  11
 10    12   71  125   3  12  37   0  10  18
 17    12   71  122   3  10  29   0  13  14
 24    12   71  139   6  10  31   0  13  15
 31    12   71  120  31   4  35   0  18  17
 07    01   72  152  24   6  46   0  14  22
 14    01   72  112  39   9  19   0  25  24
 21    01   72   83   6  15  35   0  28  13
 28    01   72   87  15  10  48   4  12  24
 04    02   72   98  21  13  28   6  25  25
 11    02   72  113  16  12  53   5  17  46
 18    02   72  133  15  15  30   2  14  38
 25    02   72  157  19  11  55   7  35  50
 03    03   72  186  20  25  45   1  43  62
 10    03   72  216  65  36  61   2  44  82
 17    03   72  191  48  48 105   0  56  79
 24    03   72  203  51  40 113   3  48  92
 31    03   72  192  62  64  78   8  43  99
 07    04   72  173  59  39  97  11  34  82
 14    04   72  213  58  81  63  12  50 147
 21    04   72  189  28  42  88  10  36 122
 28    04   72  154  36  31  67   4  26 109
 05    05   72  142  45  25  89   8  21  86
 12    05   72  195  48  59 118   7  47  94
 19    05   72  179  38  41 100   4  34 117
 26    05   72  197  56  86 143  13  30 121
 02    06   72  192  43  98  73  17  35 103
 09    06   72  266  56  80 115  16  48 105
 16    06   72  249  50 100  70  27  62  90
 23    06   72  271  27  90  66  19  56  58
 30    06   72  255  43  70  65   0  76 114
 07    07   72  328  29 111  48  34  83 103
 14    07   72  369  59  81  53  35 110 138
 21    07   72  400  45 131  60  33 100  96
 28    07   72  361  27 116  73  28  57 136
 04    08   72  376  29 133  73  13  52 109
 11    08   72  343  43 122  34  17  71 105
 18    08   72  262  34 124  43  12  98  72
 25    08   72  147  17  90  31   3  38  44
 01    09   72  121   9  70  13  13  21  30
 08    09   72  129   5  46  38   4  33  23
 15    09   72  111   9  34  11   5  24  15
 22    09   72   92   *  35   2   5  24   9
 29    09   72   92   3  66  10   5  42   4
 06    10   72  130  20  53  11   8  21   7
 13    10   72  183   5 113  21   7  57   4
 20    10   72  207   6 142  19  14  60   6
 27    10   72  263  13 120  24   8  69   3
 03    11   72  298  11 157  16   9  61   3
 10    11   72  315   7 146  11   4  91   3
 17    11   72  334   6 146  18   3  52   6
 24    11   72  264   6 140   6   6 102   2
 01    12   72  332   2 127   8   6  77  11
 08    12   72  331   5 170  11  13  87   4
 15    12   72  318   3 158   5  10 107  14
 22    12   72  404   6 120   7   7  79   5
 29    12   72  262   7  99  14  29  69   0
 05    01   73  636  13 206  48  59 122   7
 12    01   73  573   2 113  18  38  86  11
 19    01   73  388   2 109   3  19  77   8
 26    01   73  392   5  75   6  26  70  15
 02    02   73  440   9  68   9  12  74  33
 09    02   73  577   4  71  11  51  89  25
 16    02   73  627   7  81   5  36 104  18
 23    02   73  711   8  80  11  41 112  25
 02    03   73  819  11  85   6  43 118  21
 09    03   73  782  10  90  10  34 135  20
 16    03   73  939  12  84   9  33  98  13
 23    03   73 1051  13  63   5  21 104  21
 30    03   73  967   9  74  11  35  62  29
 06    04   73 1063   4  53   3  43  67   9
 13    04   73  889   8  63   2  39  84  22
 20    04   73  823   7  37   2  21  57   5
 27    04   73  935  17  49   3  18  47  17
 04    05   73  862  11  52   6  11  59  24
 11    05   73  621   8  36   0  24  47  14
 18    05   73  508   2  57   3  14  47  17
 25    05   73  681  10  53   6  10  28  13
 01    06   73  560   5  39   5   7  24   7
 08    06   73  705   5  44   2   8  54   5
