DD MM YY London Bristol Liverpool Manchester Newcastle Birmingham Sheffield
23 12 50 1556 225  13 520   3 225 264
30 12 50 1922 392  10 826   7 312 369
 6  1 51 2753 338  13 767   5 303 456
13  1 51 2425 311   8 766   4 250 389
20  1 51 2185 233  32 494   8 197 301
27  1 51 2210 185  33 500   6 208 269
 3  2 51 2368 180  43 386  13 200 317
10  2 51 2929 239  44 512  18 240 271
17  2 51 3178 281  59 442  20 295 293
24  2 51 3746 392  60 383  33 396 298
 3  3 51 3315 342  95 333  40 562 295
10  3 51 3501 497  98 268  41 590 236
17  3 51 3136 397 147 402 104 885 273
24  3 51 2518 400 151 308  88 820 317
31  3 51 2360 470 263 333 103 689 339
 7  4 51 2083 370 239 310  76 1031 314
14  4 51 1610 274 272 250 108  867 237
21  4 51 1211 231 243 228 101  836 197
28  4 51 1017 196 316 230 138  917 179
 5  5 51  871 232 300 196 123  771 191
12  5 51  881 196 405 205 280  821 201
19  5 51  701 158 523 114 200  742 220
26  5 51  748 161 546 143 302  794 191
 2  6 51  540 155 472 103 311  603 165
 9  6 51  420 131 530 140 267  547 157
16  6 51  426  95 450  84 269  517 136
23  6 51  335  70 448 124 216  296 136
30  6 51  230  42 410  92 279  312 144
 7  7 51  226  62 310  62 197  238 183
14  7 51  187  29 319  48 177  141 125
21  7 51  155  35 249  23 133  169 130
28  7 51  114  16 284  26  90   96  88
 4  8 51   93  24 258  23 101   98  86
11  8 51   69  10 176  17  39   56  64
18  8 51   58   7 150  14  37   54  57
25  8 51   51   6 135  16  27   44  22
 1  9 51   68   5 111  10  24   33  24
 8  9 51   50   3 109   7  20   29   7
15  9 51   35   3  77  12  21   20   5
22  9 51   41   6 105   8  12   16   6
29  9 51   18   2 128  18   7    8   6
 6 10 51   22   1 115  12   8   12   3
13 10 51   32   6 143  32   9    9   4
20 10 51   71  34 127  22   6   24   2
27 10 51   53  20 132  33  11   17   3
 3 11 51   65  25 131  25   7   44   4
10 11 51   50  26 121  42   5   18   4
17 11 51   47  20 153  43  14   34   3
24 11 51   22  28 100  43   6   31   3
 1 12 51   28  25 166  44  13   30   1
 8 12 51   30  38 134  61  22   31   1
15 12 51   16  42 154  32  16   35   3
22 12 51   28  20 172  39   7   31   3
29 12 51   19  21 148  38   5   50   0
 5  1 52   46  14 274  78  15   39   3
12  1 52   33  13 195  69  13   27   4
19  1 52   44   5 214  96  18   43   7
26  1 52   41   5 177  94  12   52  10
 2  2 52   50  14 209 144   6   32  14
 9  2 52   65   7 273 210  13   90   9
16  2 52  103   7 263 158  17   62   8
23  2 52  123  18 300 217  32  113  10
 1  3 52  153  22 305 189  42  115   4
